Seed,Model,Technique,Static_ms,Dynamic_ms
67,MLP,Distillation,35.331,36.5481
68,RF,Baseline,0.0176,0.0223
68,MLP,Baseline,35.2653,35.2218
68,XGB,Baseline,0.02,0.0267
68,MLP,Quant INT8,0.0057,0.0037
68,RF,Quant INT8,0.0211,0.0226
68,XGB,Quant INT8,0.0197,0.0253
68,MLP,Prune 25%,36.5517,35.7281
68,MLP,Prune 50%,35.8847,36.0202
68,MLP,Prune 75%,36.082,35.6046
68,RF,Prune 50%,0.018,0.0166
68,RF,Prune 75%,0.015,0.0134
68,RF,Prune 87%,0.013,0.0118
68,XGB,Prune 67%,0.0154,0.024
68,XGB,Prune 83%,0.0152,0.0205
68,XGB,Prune 92%,0.0104,0.0236
68,MLP,Distillation,36.4969,35.8522
69,RF,Baseline,0.0173,0.0177
69,MLP,Baseline,35.9437,38.2873
69,XGB,Baseline,0.0191,0.0256
69,MLP,Quant INT8,0.0051,0.0041
69,RF,Quant INT8,0.0226,0.0225
69,XGB,Quant INT8,0.0172,0.0252
69,MLP,Prune 25%,37.2703,36.0606
69,MLP,Prune 50%,35.9621,35.9914
69,MLP,Prune 75%,36.0286,36.0569
69,RF,Prune 50%,0.0169,0.0173
69,RF,Prune 75%,0.0147,0.0139
69,RF,Prune 87%,0.0118,0.0114
69,XGB,Prune 67%,0.0156,0.0246
69,XGB,Prune 83%,0.0147,0.023
69,XGB,Prune 92%,0.0136,0.0195
69,MLP,Distillation,37.0443,36.1419
70,RF,Baseline,0.0232,0.0243
70,MLP,Baseline,35.8853,36.1194
70,XGB,Baseline,0.0159,0.0341
70,MLP,Quant INT8,0.0046,0.0038
70,RF,Quant INT8,0.0173,0.0177
70,XGB,Quant INT8,0.016,0.0256
70,MLP,Prune 25%,36.415,37.883
70,MLP,Prune 50%,36.1015,36.1535
70,MLP,Prune 75%,35.6133,35.514
70,RF,Prune 50%,0.0163,0.0171
70,RF,Prune 75%,0.0157,0.0133
70,RF,Prune 87%,0.0116,0.0113
70,XGB,Prune 67%,0.0159,0.0206
70,XGB,Prune 83%,0.0152,0.0247
70,XGB,Prune 92%,0.0135,0.0219
70,MLP,Distillation,36.2719,35.7731
71,RF,Baseline,0.0212,0.0223
71,MLP,Baseline,36.0366,36.1538
71,XGB,Baseline,0.0205,0.0252
71,MLP,Quant INT8,0.0047,0.0038
71,RF,Quant INT8,0.0172,0.0227
